anime_id,Genres,English name,Type,Episodes,Studios,Source
116,"Adventure, Comedy, Romance, Fantasy",El-Hazard:The Wanderers,TV,26,AIC,Original
117,"Adventure, Comedy, Romance, Fantasy",Unknown,OVA,7,AIC,Original
118,"Adventure, Comedy, Fantasy",Unknown,OVA,4,AIC,Original
119,"Comedy, Drama, Romance, Slice of Life",Unknown,TV,13,Zexcs,Visual novel
120,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",Fruits Basket,TV,26,Studio Deen,Manga
121,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",Fullmetal Alchemist,TV,51,Bones,Manga
122,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",Searching for the Full Moon,TV,52,Studio Deen,Manga
123,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",Mysterious Play,TV,52,Studio Pierrot,Manga
124,"Adventure, Fantasy, Romance, Drama, Shoujo",Mysterious Play:Eikoden,OVA,4,Studio Pierrot,Manga
125,"Comedy, Romance, School",Twin Love,TV,13,Telecom Animation Film,Original
126,"Comedy, Drama, Romance",Unknown,TV,13,"ufotable, feel., Studio Flag",Original
127,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",Unknown,TV,24,Gonzo,Game
128,"Action, Drama, Mecha, Sci-Fi, Shounen",Unknown,OVA,6,Gonzo,Game
129,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",Saiyuki,TV,50,Studio Pierrot,Manga
130,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",Saiyuki Reload,TV,25,Studio Pierrot,Manga
131,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",Saiyuki Gunlock,TV,26,Studio Pierrot,Manga
132,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",Getbackers,TV,49,Studio Deen,Manga
133,"Comedy, Ecchi, Romance, School, Slice of Life",Green Green,TV,12,Studio Matrix,Visual novel
134,"Action, Psychological, Military, Drama, Sci-Fi",Gunslinger Girl,TV,13,Madhouse,Manga
135,"Comedy, Game, Shounen, Supernatural",Hikaru no Go,TV,75,Studio Pierrot,Manga
136,"Action, Adventure, Super Power, Fantasy, Shounen",Hunter x Hunter,TV,62,Nippon Animation,Manga
137,"Action, Adventure, Super Power, Shounen",Unknown,OVA,8,Nippon Animation,Manga
138,"Action, Adventure, Super Power, Fantasy, Shounen",Unknown,OVA,8,Nippon Animation,Manga
139,"Action, Adventure, Super Power, Fantasy, Shounen",Unknown,OVA,14,Nippon Animation,Manga
141,"Mecha, Sci-Fi",Jinki:Extend,TV,12,feel.,Manga
142,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo",Unknown,TV,44,Toei Animation,Manga
143,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai",Destiny of the Shrine Maiden,TV,12,TNK,Manga
144,"Drama, Romance, Slice of Life, Supernatural",Unknown,TV,13,Toei Animation,Visual novel
145,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",His and Her Circumstances,TV,26,"Gainax, J.C.Staff",Manga
146,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi",This Ugly Yet Beautiful World,TV,12,"Gainax, Shaft",Original
147,"Drama, Romance, Slice of Life",Rumbling Hearts,TV,14,Studio Fantasia,Visual novel
148,"Drama, Romance, Slice of Life",Diamond Daydreams,TV,12,Studio Deen,Visual novel
149,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai",Loveless,TV,12,J.C.Staff,Manga
150,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire",Blood+,TV,50,Production I.G,Original
151,"Action, Sci-Fi, Comedy, Ecchi, Shoujo Ai",Unknown,OVA,3,"Gainax, Toei Animation",Manga
152,"Action, Sci-Fi, Super Power",Unknown,TV,24,Gonzo,Original
153,"Action, Adventure, Fantasy, Magic, Supernatural",The Twelve Kingdoms,TV,45,Studio Pierrot,Novel
154,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",Shaman King,TV,64,Xebec,Manga
155,"Action, Drama, Fantasy, Horror, Magic, Sci-Fi, Supernatural",X - The Movie,Movie,1,Madhouse,Manga
156,"Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo",X,TV,24,Madhouse,Manga
157,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural",Negima!,TV,26,Xebec,Manga
158,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai",Maria Watches Over Us,TV,13,Studio Deen,Light novel
159,"Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural",The Melody of Oblivion,TV,24,"Gainax, J.C.Staff",Manga
160,"Adventure, Drama, Fantasy, Military, Sci-Fi","Now and Then, Here and There",TV,13,AIC,Original
161,"Action, Comedy, Historical, Samurai, Shounen",Peace Maker Kurogane,TV,24,Gonzo,Manga
162,"Comedy, Fantasy, Kids, Romance, School, Shounen",Pita-Ten,TV,26,Madhouse,Manga
163,"Adventure, Comedy, Fantasy, Historical, Shounen",Unknown,TV,26,Studio Pierrot,Game
164,"Action, Adventure, Fantasy",Princess Mononoke,Movie,1,Studio Ghibli,Original
165,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",RahXephon,TV,26,Bones,Original
166,"Historical, Mecha, Samurai, Sci-Fi",Samurai 7,TV,26,Gonzo,Other
167,"Sci-Fi, Adventure, Comedy, Drama, Fantasy, Mecha, Shounen",Scrapped Princess,TV,24,Bones,Light novel
168,"Action, Sci-Fi, Adventure, Super Power, Drama",s-CRY-ed,TV,26,Sunrise,Original
169,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire",Lunar Legend Tsukihime,TV,12,J.C.Staff,Visual novel
170,"Comedy, Drama, School, Shounen, Sports",Slam Dunk,TV,101,Toei Animation,Manga
171,"Adventure, Drama, Fantasy",Unknown,TV,13,Hal Film Maker,Original
173,"Mystery, Comedy, Historical, Demons, Supernatural, Drama, Shounen",Unknown,TV,25,Studio Deen,Manga
174,"Action, Ecchi, Martial Arts, Comedy, Super Power, School, Shounen",Tenjho Tenge,TV,24,Madhouse,Manga
175,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power",Tokyo Underground,TV,26,Studio Pierrot,Manga
176,"Adventure, Romance",Unknown,OVA,4,Seven Arcs,Visual novel
177,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen",Tsubasa RESERVoir CHRoNiCLE,TV,26,Bee Train,Manga
178,"Comedy, Magic, Romance, School, Shoujo",Ultramaniac - Magical Girl,TV,26,Production Reed,Manga
179,"Comedy, Magic, Romance, School",Unknown,OVA,1,Production Reed,Unknown
180,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",Vandread,TV,13,Gonzo,Original
181,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",Unknown,TV,13,Gonzo,Original
182,"Adventure, Psychological, Romance, Fantasy, Mecha",The Vision of Escaflowne,TV,26,Sunrise,Original
183,"School, Shounen, Sports",Unknown,TV,39,Studio Comet,Manga
184,"Action, Mecha, Sci-Fi, Shounen, Space",Unknown,TV,12,Toei Animation,Game
185,"Action, Cars, Drama, Seinen, Sports",Initial D First Stage,TV,26,"Gallop, Studio Comet",Manga
186,"Action, Cars, Drama, Seinen, Sports",Initial D Second Stage,TV,13,Pastel,Manga
187,"Action, Cars, Sports, Drama, Romance, Seinen",Unknown,Movie,1,Studio Deen,Manga
188,"Comedy, Hentai, Mystery, Supernatural",Masquerade,OVA,4,Unknown,Original
189,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life",Love Hina,TV,24,Xebec,Manga
190,"Comedy, Drama, Ecchi, Romance, Shounen",Love Hina Again,OVA,3,Xebec,Manga
191,"Slice of Life, Comedy, Romance",Love Hina Christmas Movie,Special,1,Xebec,Manga
192,"Adventure, Comedy, Romance",Love Hina Spring Movie,Special,1,Xebec,Unknown
193,"Comedy, Drama, Ecchi, Harem, Magic, Romance, School",Maburaho,TV,24,J.C.Staff,Light novel
194,"Adventure, Mecha, Military, Sci-Fi, Shounen",Macross Zero,OVA,5,Satelight,Original
195,"Sci-Fi, Comedy, Drama, Romance, School",Please Teacher!,TV,12,Daume,Original
196,"Comedy, Drama, Harem, School, Sci-Fi",Please Twins,TV,12,Daume,Original
197,"Sci-Fi, Comedy, Romance, Ecchi, School",Unknown,TV,24,"Madhouse, Imagin",Manga
198,"Action, Mystery, Super Power",Speed Grapher,TV,24,Gonzo,Original
199,"Adventure, Supernatural, Drama",Spirited Away,Movie,1,Studio Ghibli,Original
200,"Comedy, Magic, Romance, Shounen",Cheeky Angel,TV,50,TMS Entertainment,Manga
201,"Comedy, Drama, Ecchi, Romance",Video Girl Ai,OVA,6,Production I.G,Manga
202,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",Wolf's Rain,TV,26,Bones,Original
203,"Adventure, Hentai, Demons, Magic, Fantasy",Unknown,OVA,5,Arms,Visual novel
204,"Action, Comedy, Ecchi, Harem, Super Power",Unknown,TV,12,Studio Deen,Visual novel
205,"Action, Adventure, Comedy, Historical, Samurai, Shounen",Samurai Champloo,TV,26,Manglobe,Original
206,"Action, Adventure, Drama, Magic, Romance, Fantasy",Record of Lodoss War:Chronicles of the Heroic Knight,TV,27,AIC,Novel
207,"Action, Adventure, Fantasy, Magic, Shounen, Supernatural",Record of Lodoss War,OVA,13,Madhouse,Novel
208,"Action, Sci-Fi, Adventure, Mystery, Historical, Magic",R.O.D - Read or Die,OVA,3,Studio Deen,Light novel
209,"Action, Sci-Fi, Adventure, Comedy, Super Power, Drama",R.O.D -The TV-,TV,26,J.C.Staff,Light novel
210,"Slice of Life, Comedy, Martial Arts, Fantasy, Shounen",Ranma ½,TV,161,Studio Deen,Manga
211,Hentai,Unknown,OVA,2,Unknown,Visual novel
212,"Action, Adventure, Comedy, Mecha, Sci-Fi, Super Power",Unknown,Movie,1,APPP,Original
213,"Comedy, Romance, Hentai",Welcome to Pia Carrot,OVA,3,Unknown,Unknown
214,"Comedy, Romance, Hentai",Welcome To Pia Carrot 2,OVA,3,Unknown,Unknown
215,"Comedy, Romance",Unknown,OVA,6,Unknown,Visual novel
216,"Comedy, Romance",Welcome to Pia Carrot! Sayaka's Love Story,Movie,1,Bones,Visual novel
217,"Comedy, Drama, Hentai, Romance",New Angel,OVA,5,Unknown,Unknown
218,"Action, Comedy, Mecha, Military, Parody, Romance, Sci-Fi, Shounen, Space",Martian Successor Nadesico,TV,26,Xebec,Original
219,"Action, Comedy, Drama, Mecha, Psychological, Sci-Fi, Shounen, Space",Martian Successor Nadesico:The Prince of Darkness,Movie,1,Xebec,Original
220,"Hentai, Horror",Mystery of the Necronomicon,OVA,4,Unknown,Unknown
221,"Action, Comedy, Hentai, Sci-Fi",Unknown,OVA,2,Arms,Original
222,"Action, Adventure, Comedy, Mystery, Sci-Fi",Unknown,TV,13,Arms,Original
223,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",Dragon Ball,TV,153,Toei Animation,Manga
225,"Action, Sci-Fi, Adventure, Comedy, Super Power, Magic, Fantasy, Shounen",Dragon Ball GT,TV,64,Toei Animation,Manga
226,"Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen",Elfen Lied,TV,13,Arms,Manga
227,"Action, Sci-Fi, Comedy, Parody, Dementia, Psychological, Mecha",FLCL,OVA,6,"Gainax, Production I.G",Original
228,"Mystery, Horror, Psychological, Supernatural",Hell Girl,TV,26,Studio Deen,Original
229,"Comedy, Parody, Martial Arts",Ninja Nonsense,TV,12,ufotable,Manga
230,"Action, Comedy, Martial Arts, Seinen",Air Master,TV,27,Toei Animation,Manga
231,"Action, Comedy, Supernatural, Fantasy, Seinen",Shrine of the Morning Mist,TV,26,"Chaos Project, GANSIS",Manga
232,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo",Cardcaptor Sakura,TV,70,Madhouse,Manga
233,"Comedy, Sci-Fi, Shoujo",Unknown,TV,78,J.C.Staff,Manga
234,"Adventure, Sports, Shounen",Unknown,TV,26,Tokyo Kids,Manga
235,"Adventure, Mystery, Comedy, Police, Shounen",Case Closed,TV,Unknown,TMS Entertainment,Manga
236,"Adventure, Comedy, Drama, Military, Sci-Fi, Shounen, Supernatural",E's Otherwise,TV,26,Studio Pierrot,Manga
237,"Adventure, Drama, Mecha, Romance, Sci-Fi",Eureka Seven,TV,50,Bones,Original
238,"Action, Adventure, Martial Arts, Shounen, Super Power",Flame of Recca,TV,42,Studio Pierrot,Manga
239,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",Gankutsuou:The Count of Monte Cristo,TV,24,Gonzo,Novel
240,"Slice of Life, Comedy, Parody",Genshiken,TV,12,Palm Studio,Manga
241,"Harem, Comedy, Romance, Ecchi, Fantasy, School, Shounen",Girls Bravo,TV,11,AIC Spirits,Manga
242,"Slice of Life, Comedy, Drama, School, Josei",The Gokusen,TV,13,Madhouse,Manga
243,"Comedy, Music, Romance, Shoujo, Shounen Ai",Gravitation,TV,13,Studio Deen,Manga
244,"Historical, Mystery",Agatha Christie's Great Detectives Poirot and Marple,TV,39,OLM,Novel
245,"Slice of Life, Comedy, Drama, School, Shounen",Great Teacher Onizuka,TV,43,Studio Pierrot,Manga
246,"Adventure, Comedy, Fantasy, Romance, Shounen",Rave Master,TV,51,Studio Deen,Manga
247,"Fantasy, Magic, Supernatural, Demons, Historical, Shoujo",Haruka:Beyond the Stream of Time – A Tale of the Eight Guardians,TV,26,Yumeta Company,Visual novel
248,"Comedy, Ecchi, Harem, Romance, Shounen",Strawberry 100%,TV,12,Madhouse,Manga
249,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen",InuYasha,TV,167,Sunrise,Manga
250,"Adventure, Comedy, Demons, Supernatural, Magic, Shounen",Zatch Bell!,TV,150,Toei Animation,Manga
251,"Adventure, Comedy, Demons, Fantasy, Shoujo",King From Now On!,TV,78,Studio Deen,Light novel
252,"Military, Mystery, Psychological, Supernatural, Drama, Magic, Shounen",Unknown,TV,26,Bee Train,Original
253,"Slice of Life, Comedy, School",Haré+Guu,TV,26,Shin-Ei Animation,Manga
254,"Comedy, Slice of Life",Haré+Guu Deluxe,OVA,6,Shin-Ei Animation,Manga
255,"Slice of Life, Comedy",Unknown,OVA,7,Shin-Ei Animation,Manga
256,"Sci-Fi, Space, Drama, Romance, Mecha",Voices of a Distant Star,OVA,1,CoMix Wave Films,Original
257,"Ecchi, Super Power, Martial Arts, School",Ikki Tousen,TV,13,J.C.Staff,Manga
258,"Horror, Drama, Vampire",Unknown,OVA,4,Madhouse,Manga
259,"Comedy, Harem, Romance, School",Unknown,OVA,5,Studio Hibari,Unknown
260,"Comedy, Drama, Harem, Romance, Slice of Life",Unknown,TV,13,Studio Hibari,Manga
261,"Comedy, Harem, Romance, Slice of Life",Unknown,TV,13,Studio Hibari,Manga
262,"Comedy, Harem, Romance, School",Unknown,OVA,3,Studio Hibari,Manga
263,"Comedy, Sports, Drama, Shounen",Fighting Spirit,TV,75,Madhouse,Manga
264,"Comedy, Shounen, Sports",Fighting Spirit:Champion Road,Special,1,Madhouse,Manga
265,"Comedy, Sports, Shounen",Unknown,OVA,1,Madhouse,Manga
266,"Drama, Mecha, Military, Romance, Sci-Fi, Shounen, Slice of Life",Gunparade March:A New Song for the March,TV,12,J.C.Staff,Game
267,"Action, Drama, Sci-Fi, Seinen, Super Power",Gungrave,TV,26,Madhouse,Game
268,"Adventure, Comedy, Ecchi",Golden Boy,OVA,6,APPP,Manga
269,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",Bleach,TV,366,Studio Pierrot,Manga
270,"Action, Horror, Supernatural, Vampire, Seinen",Hellsing,TV,13,Gonzo,Manga
271,"Sci-Fi, Adventure, Mecha, Shounen",Unknown,TV,26,Gonzo,Original
272,"Action, Mystery, Drama",Noir,TV,26,Bee Train,Original
273,"Slice of Life, Drama, Magic, Shounen",Someday's Dreamers,TV,12,J.C.Staff,Manga
274,"Action, Sci-Fi, Super Power, Ecchi, Mecha",Kiddy Grade,TV,24,Gonzo,Original
275,"Ecchi, Comedy, Harem, Romance",Love♥Love?,TV,9,"Imagin, Studio Live",Original
276,"Comedy, Ecchi, Military, Romance, Sci-Fi",Mahoromatic:Automatic Maiden,TV,12,"Gainax, Shaft",Manga
277,"Military, Sci-Fi, Comedy, Drama, Romance, Ecchi",Mahoromatic ~Something More Beautiful~,TV,14,"Gainax, Shaft",Manga
278,"Action, Sci-Fi, Comedy, Shounen",Unknown,TV,51,Group TAC,Game
279,"Fantasy, Historical, Horror, Mystery, Psychological, Supernatural",Requiem from the Darkness,TV,13,TMS Entertainment,Novel
280,"Adventure, Comedy, Fantasy, Shoujo",Animal Lane,TV,51,Gallop,Manga
281,"Comedy, Mecha, Romance",Unknown,OVA,3,Silver,Visual novel
282,"Action, Mystery, Drama, Romance, Seinen",Unknown,TV,50,TMS Entertainment,Manga
283,"Slice of Life, Historical, Drama",Anne of Green Gables,TV,50,Nippon Animation,Novel
284,"Action, Drama, Military, Romance, Shounen",Unknown,TV,12,Group TAC,Manga
285,"Action, Adventure, Drama, Mecha, Military, Sci-Fi",Unknown,TV,25,Sunrise,Original
